08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Reservoir Depth
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 196 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Maximum Temperature
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 196 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Number of Segments
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Gradient 1
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Reservoir Volume Option
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Fracture Shape
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Fracture Height
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Number of Fractures
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Reservoir Volume
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Water Loss Fraction
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Reservoir Heat Capacity
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 196 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Reservoir Density
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 196 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Reservoir Thermal Conductivity
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Reservoir : read_parameters : 509 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Reservoir.TDPReservoir'>: read_parameters
08-07-2022 11:26:49 : INFO : WellBores : read_parameters : 87 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'WellBores.WellBores'>: read_parameters
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Number of Production Wells
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Number of Injection Wells
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Production Well Diameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Injection Well Diameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Ramey Production Wellbore Model
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 225 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Production Wellbore Temperature Drop
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Injection Wellbore Temperature Gain
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 196 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Production Flow Rate per Well
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Injection Temperature
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Injectivity Index
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 237 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete Parameter: ReadParameter
08-07-2022 11:26:49 : INFO : Parameter : ReadParameter : 164 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init Parameter: ReadParameter for Productivity Index
